ticker,korean,english
005930,삼성전자,Samsung Electronics
000660,SK하이닉스,SK Hynix
373220,LG에너지솔루션,LG Energy Solution
207940,삼성바이오로직스,Samsung Biologics
005380,현대차,Hyundai Motor
000270,기아,Kia
005490,POSCO홀딩스,POSCO Holdings
051910,LG화학,LG Chem
006400,삼성SDI,Samsung SDI
035420,NAVER,NAVER
035720,카카오,Kakao
068270,셀트리온,Celltrion
012330,현대모비스,Hyundai Mobis
105560,KB금융,KB Financial Group
055550,신한지주,Shinhan Financial Group
086790,하나금융지주,Hana Financial Group
316140,우리금융지주,Woori Financial Group
017670,SK텔레콤,SK Telecom
030200,KT,KT Corporation
003490,대한항공,Korean Air Lines
096770,SK이노베이션,SK Innovation
034730,SK,SK Inc
010130,고려아연,Korea Zinc
009150,삼성전기,Samsung Electro-Mechanics
011200,HMM,HMM
018260,삼성에스디에스,Samsung SDS
032830,삼성생명,Samsung Life Insurance
000810,삼성화재,Samsung Fire & Marine
015760,한국전력,Korea Electric Power
033780,KT&G,KT&G
